timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
2,500,28,201,500.0
2,500,29,201,437.9
2,500,30,201,1164.4
2,1000,1,201,1347.0
2,1000,2,201,947.1
2,1000,3,201,602.9
2,1000,4,201,1291.0
2,1000,5,201,812.1
2,1000,6,201,1129.4
2,1000,7,201,734.0
2,1000,8,201,1086.0
2,1000,9,201,1288.6
2,1000,10,201,807.8
2,1000,11,201,888.8
2,1000,12,201,719.9
2,1000,13,201,1018.8
2,1000,14,201,766.9
2,1000,15,201,1751.5
2,1000,16,201,616.1
2,1000,17,201,712.8
2,1000,18,201,1479.2
2,1000,19,201,569.5
2,1000,20,201,856.0
2,1000,21,201,1075.5
2,1000,22,201,806.1
2,1000,23,201,1102.1
2,1000,24,201,823.1
2,1000,25,201,452.9
2,1000,26,201,1076.1
2,1000,27,201,941.5
2,1000,28,201,1494.1
2,1000,29,201,764.1
2,1000,30,201,1110.6
2,2000,1,201,1643.3
2,2000,2,201,1856.9
2,2000,3,201,1380.5
2,2000,4,201,1052.6
2,2000,5,503,2008.9
2,2000,6,201,568.1
2,2000,7,201,1439.9
2,2000,8,503,2008.1
2,2000,9,503,2008.1
2,2000,10,201,1590.8
2,2000,11,201,1785.8
2,2000,12,201,1101.7
2,2000,13,503,2007.9
2,2000,14,503,2007.8
2,2000,15,503,2007.6
2,2000,16,201,1947.4
2,2000,17,201,1681.0
2,2000,18,503,2009.1
2,2000,19,503,2008.4
2,2000,20,503,2008.4
2,2000,21,201,1947.3
2,2000,22,503,2008.1
2,2000,23,201,1943.4
2,2000,24,503,2007.5
2,2000,25,201,1468.1
2,2000,26,201,1305.8
2,2000,27,503,2007.7
2,2000,28,503,2008.4
2,2000,29,503,2007.9
2,2000,30,503,2009.8
30,0,1,201,62.0
30,0,2,201,63.8
30,0,3,201,62.6
30,0,4,201,59.3
30,0,5,201,55.9
30,0,6,201,60.6
30,0,7,201,63.8
30,0,8,201,55.4
30,0,9,201,57.0
30,0,10,201,58.7
30,0,11,201,55.4
30,0,12,201,56.4
30,0,13,201,56.7
30,0,14,201,60.0
30,0,15,201,59.2
30,0,16,201,55.9
30,0,17,201,59.4
30,0,18,201,58.9
30,0,19,201,59.3
30,0,20,201,60.3
30,0,21,201,60.3
30,0,22,201,59.9
30,0,23,201,59.0
30,0,24,201,58.3
30,0,25,201,56.8
30,0,26,201,57.2
30,0,27,201,58.5
30,0,28,201,56.1
30,0,29,201,55.8
30,0,30,201,55.8
30,250,1,201,355.1
30,250,2,201,242.4
30,250,3,201,152.1
30,250,4,201,252.5
30,250,5,201,199.7
30,250,6,201,417.2
30,250,7,201,265.3
30,250,8,201,254.6
30,250,9,201,354.0
30,250,10,201,262.4
30,250,11,201,322.6
30,250,12,201,314.6
30,250,13,201,366.1
30,250,14,201,436.8
30,250,15,201,241.6
30,250,16,201,252.2
30,250,17,201,177.6
