timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
2,500,10,201,714.6
2,500,11,201,429.3
2,500,12,201,563.9
2,500,13,201,539.0
2,500,14,201,552.1
2,500,15,201,572.7
2,500,16,201,461.5
2,500,17,201,272.7
2,500,18,201,456.8
2,500,19,201,675.5
2,500,20,201,558.6
2,500,21,201,450.2
2,500,22,201,586.1
2,500,23,201,284.7
2,500,24,201,493.6
2,500,25,201,530.5
2,500,26,201,467.3
2,500,27,201,335.8
2,500,28,201,617.8
2,500,29,201,697.8
2,500,30,201,531.8
2,1000,1,201,1272.9
2,1000,2,201,744.4
2,1000,3,201,683.4
2,1000,4,201,1394.6
2,1000,5,201,1178.9
2,1000,6,201,1018.1
2,1000,7,201,912.2
2,1000,8,201,1006.5
2,1000,9,201,1301.4
2,1000,10,201,1003.8
2,1000,11,201,1135.3
2,1000,12,201,1182.2
2,1000,13,201,752.7
2,1000,14,201,1103.2
2,1000,15,201,1127.9
2,1000,16,201,928.1
2,1000,17,201,696.8
2,1000,18,201,939.8
2,1000,19,201,1123.4
2,1000,20,201,987.3
2,1000,21,201,960.1
2,1000,22,201,1302.7
2,1000,23,201,1018.3
2,1000,24,201,1258.6
2,1000,25,201,1141.7
2,1000,26,201,775.0
2,1000,27,201,1019.5
2,1000,28,201,1864.0
2,1000,29,201,1230.6
2,1000,30,201,1016.8
2,2000,1,503,2009.2
2,2000,2,503,2008.1
2,2000,3,503,2007.8
2,2000,4,201,1482.6
2,2000,5,503,2006.9
2,2000,6,201,1693.5
2,2000,7,503,2008.8
2,2000,8,503,2007.3
2,2000,9,201,1418.7
2,2000,10,503,2007.6
2,2000,11,201,486.3
2,2000,12,503,2008.4
2,2000,13,503,2008.1
2,2000,14,503,2009.3
2,2000,15,201,1820.5
2,2000,16,503,1972.1
2,2000,17,201,1362.5
2,2000,18,201,134.4
2,2000,19,201,1863.1
2,2000,20,201,1024.6
2,2000,21,503,2009.5
2,2000,22,201,1612.7
2,2000,23,503,2008.4
2,2000,24,201,1403.4
2,2000,25,503,2006.9
2,2000,26,503,2007.3
2,2000,27,201,1665.9
2,2000,28,201,1026.9
2,2000,29,201,1432.1
2,2000,30,201,1307.9
30,0,1,201,57.3
30,0,2,201,59.3
30,0,3,201,59.9
30,0,4,201,55.9
30,0,5,201,56.2
30,0,6,201,56.9
30,0,7,201,59.1
30,0,8,201,55.3
30,0,9,201,56.3
30,0,10,201,56.5
30,0,11,201,55.6
30,0,12,201,55.9
30,0,13,201,57.0
30,0,14,201,55.5
30,0,15,201,56.1
30,0,16,201,60.1
30,0,17,201,54.9
30,0,18,201,57.2
30,0,19,201,55.4
30,0,20,201,55.4
30,0,21,201,56.2
30,0,22,201,56.0
30,0,23,201,58.4
30,0,24,201,59.2
30,0,25,201,58.6
30,0,26,201,58.0
30,0,27,201,58.6
30,0,28,201,56.5
30,0,29,201,58.9
30,0,30,201,56.5
30,250,1,201,325.0
30,250,2,201,327.8
30,250,3,201,145.5
30,250,4,201,281.3
30,250,5,201,272.2
30,250,6,201,280.1
30,250,7,201,256.7
30,250,8,201,284.0
30,250,9,201,249.7
30,250,10,201,262.6
30,250,11,201,281.3
30,250,12,201,277.0
30,250,13,201,326.1
30,250,14,201,306.7
30,250,15,201,425.3
30,250,16,201,471.3
30,250,17,201,452.0
30,250,18,201,367.4
30,250,19,201,235.7
30,250,20,201,235.4
30,250,21,201,299.1
30,250,22,201,301.3
30,250,23,201,273.1
30,250,24,201,327.3
30,250,25,201,340.2
30,250,26,201,318.8
30,250,27,201,238.7
30,250,28,201,277.9
30,250,29,201,275.9
30,250,30,201,306.7
30,500,1,201,511.7
30,500,2,201,279.8
30,500,3,201,596.0
30,500,4,201,369.4
30,500,5,201,441.6
30,500,6,201,400.2
30,500,7,201,659.8
30,500,8,201,587.4
30,500,9,201,689.1
30,500,10,201,598.1
30,500,11,201,173.8
30,500,12,201,652.2
30,500,13,201,491.7
30,500,14,201,490.9
30,500,15,201,391.0
30,500,16,201,709.1
30,500,17,201,567.1
30,500,18,201,732.6
30,500,19,201,532.0
30,500,20,201,599.7
30,500,21,201,435.4
30,500,22,201,801.9
30,500,23,201,702.3
30,500,24,201,524.3
30,500,25,201,643.0
30,500,26,201,688.5
30,500,27,201,545.1
30,500,28,201,745.6
30,500,29,201,585.1
30,500,30,201,606.6
30,1000,1,201,722.1
30,1000,2,201,1233.9
30,1000,3,201,898.0
30,1000,4,201,170.9
30,1000,5,201,780.4
30,1000,6,201,1214.5
30,1000,7,201,1707.2
30,1000,8,201,1060.8
30,1000,9,201,1247.7
30,1000,10,201,741.2
30,1000,11,201,1252.4
30,1000,12,201,998.8
30,1000,13,201,863.8
30,1000,14,201,870.3
30,1000,15,201,810.1
30,1000,16,201,471.1
30,1000,17,201,1008.9
30,1000,18,201,921.0
30,1000,19,201,1021.3
30,1000,20,201,1187.3
30,1000,21,201,734.5
30,1000,22,201,1371.5
30,1000,23,201,1190.4
30,1000,24,201,914.2
30,1000,25,201,907.5
30,1000,26,201,638.5
30,1000,27,201,686.8
30,1000,28,201,1318.7
30,1000,29,201,944.5
30,1000,30,201,598.1
30,2000,1,201,2408.5
30,2000,2,201,2020.2
30,2000,3,201,2307.5
30,2000,4,201,1899.9
30,2000,5,201,1447.0
30,2000,6,201,1442.1
30,2000,7,201,2908.1
30,2000,8,201,2006.9
30,2000,9,201,1560.8
30,2000,10,201,3008.3
30,2000,11,201,1843.4
30,2000,12,201,1726.6
30,2000,13,201,2030.0
30,2000,14,201,1437.0
30,2000,15,201,1114.4
30,2000,16,201,3235.9
30,2000,17,201,2603.7
30,2000,18,201,2584.6
30,2000,19,201,2562.9
30,2000,20,201,2441.7
30,2000,21,201,2364.9
30,2000,22,201,2422.6
30,2000,23,201,2268.0
30,2000,24,201,2126.0
30,2000,25,201,1628.8
30,2000,26,201,1376.2
30,2000,27,201,1523.2
30,2000,28,201,2881.3
30,2000,29,201,1627.2
30,2000,30,201,1817.4
